,name,merchant,price,url,description,image
52,BCBGeneration Strappy Surplice Jumpsuit,BCBGeneration,58.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13770208428&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZGK9176394-481.html,BCBGeneration Strappy Surplice Jumpsuit,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwa7202dde/images/large/ZGK9176394_481.jpg?sw=500&sh=791&sm=fit
53,BCBGeneration Strappy Surplice Jumpsuit,BCBGeneration,58.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13770208427&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZGK9176394-481.html,BCBGeneration Strappy Surplice Jumpsuit,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwa7202dde/images/large/ZGK9176394_481.jpg?sw=500&sh=791&sm=fit
54,BCBGeneration Strappy Surplice Jumpsuit,BCBGeneration,58.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13770208426&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZGK9176394-481.html,BCBGeneration Strappy Surplice Jumpsuit,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwa7202dde/images/large/ZGK9176394_481.jpg?sw=500&sh=791&sm=fit
55,BCBGeneration Strappy Surplice Jumpsuit,BCBGeneration,58.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13770208429&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZGK9176394-481.html,BCBGeneration Strappy Surplice Jumpsuit,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwa7202dde/images/large/ZGK9176394_481.jpg?sw=500&sh=791&sm=fit
56,BCBGeneration Blessed Charm Mesh Bracelet,BCBGeneration,24.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14050007688&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2F19976312K105-105.html,BCBGeneration Blessed Charm Mesh Bracelet,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwd456966c/images/large/19976312K105_105.jpg?sw=500&sh=791&sm=fit
57,BCBGeneration Blessed Pave Necklace,BCBGeneration,24.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14050007683&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2F20081012K105-105.html,BCBGeneration Blessed Pave Necklace,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwd8a35943/images/large/20081012K105_105.jpg?sw=500&sh=791&sm=fit
58,BCBGeneration Heartbreaker Stone Stud Earring,BCBGeneration,16.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14050007687&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2F21217912K600-600.html,BCBGeneration Heartbreaker Stone Stud Earring,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw2c0e3409/images/large/21217912K600_600.jpg?sw=500&sh=791&sm=fit
59,BCBGeneration Love Pave Necklace,BCBGeneration,22.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14050007685&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2F200805RG994-994.html,BCBGeneration Love Pave Necklace,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwaf4ab1ef/images/large/200805RG994_994.jpg?sw=500&sh=791&sm=fit
60,BCBGeneration Ruffle Sleeve A-Line Dress,BCBGeneration,53.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13753541427&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FTYD6172714-220.html,BCBGeneration Ruffle Sleeve A-Line Dress,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw2161aaca/images/large/TYD6172714_220.jpg?sw=500&sh=791&sm=fit
61,BCBGeneration Floral Bustier Top,BCBGeneration,38.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13794946683&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZAG1191385-409.html,BCBGeneration Floral Bustier Top,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwa1a2cdcf/images/large/ZAG1191385_409.jpg?sw=500&sh=791&sm=fit
